,,,,,,,,,,,,,,,index,trial_id,registry,registration_date,start_date,retrospective_registration,sponsor,recruitment_status,phase,study_type,countries,title,acronym,study_category,intervention,intervention_list,enrollment,primary_completion_date,full_completion_date,registy_url,results_type,results_published_date,results_url,last_updated,cross_registration
586,NCT04324528,ClinicalTrials.gov,25.03.2020,27.03.2020,TRUE,Dr.,Alexander,Supady,Recruiting,Not,Applicable,Interventional,Germany,Cytokine,Adsorption,in,Severe,COVID-19,Pneumonia,Requiring,Extracorporeal,Membrane,Oxygenation,CYCOV,Drug,Oxygen,Oxygen,30,26.09.2020,26.11.2020,https://clinicaltrials.gov/show/NCT04324528,No,Results,No,Results,No,Results,14.04.2020,DRKS00021300
591,NCT04328272,ClinicalTrials.gov,25.03.2020,28.03.2020,FALSE,Dr.,Umar,Farooq,Not,Recruiting,Phase,3,Interventional,Pakistan,Effectiveness,of,Hydroxychloroquine,in,Covid-19,Patients,Covid,Drug,Hydroxychloroquine,vs.,Hydroxychloroquine,+,Azithromycin,Hydroxychloroquine,,,,,,,,,,,
595,NCT04330261,ClinicalTrials.gov,30.03.2020,18.03.2020,TRUE,University,of,Calgary,Recruiting,Not,Applicable,Observational,Canada,Clinical,Characteristics,and,Outcomes,of,Pediatric,COVID-19,PERN-COVID-19,Clinical,Presentation,No,Intervention,No,Intervention,12500,17.03.2021,17.03.2022,https://clinicaltrials.gov/show/NCT04330261,No,Results,No,Results,No,Results,14.04.2020,None
596,NCT04331574,ClinicalTrials.gov,30.03.2020,10.03.2020,TRUE,Società,Italiana,dell'Ipertensione,Arteriosa-Lega,Italiana,Recruiting,Not,Applicable,Observational,Italy,Renin-Angiotensin,System,Inhibitors,and,COVID-19,SARS-RAS,Drug,ACE,Inhibitors,or,ARBs,ACE,Inhibitors,,,,,,,,,,,
598,NCT04332016,ClinicalTrials.gov,30.03.2020,2.04.2020,FALSE,University,Hospital,,Bordeaux,Recruiting,Not,Applicable,Observational,France,COVID-19,Biological,Samples,Collection,COLCOV19-BX,Clinical,Presentation,No,Intervention,No,Intervention,2000,23.03.2020,23.03.2020,https://clinicaltrials.gov/show/NCT04332016,No,Results,No,Results,No,Results,14.04.2020,None,,
602,NCT04335201,ClinicalTrials.gov,31.03.2020,6.04.2020,TRUE,IRCCS,Ospedale,San,Raffaele,Not,Recruiting,Phase,2,Interventional,No,Country,Given,Defibrotide,in,COVID-19,Pneumonia,DEFI-VID19,Drug,Defibrotide,Defibrotide,50,30.09.2020,31.12.2020,https://clinicaltrials.gov/show/NCT04335201,No,Results,No,Results,No,Results,14.04.2020,EUCTR2020-001513-20,,
635,EUCTR2020-001565-37-ES,EU,Clinical,Trials,Register,7.04.2020,3.04.2020,TRUE,ISGlobal,Authorised,Phase,3,Interventional,Spain,Prevention,of,novel,Coronavirus,infection,with,hydroxychloroquine,,Drug,Hydroxychloroquine,Hydroxychloroquine,440,Not,Available,Not,Available,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001565-37,No,Results,No,Results,No,Results,14.04.2020,None
641,NCT04261517,ClinicalTrials.gov,6.02.2020,6.02.2020,FALSE,Shanghai,Public,Health,Clinical,Center,Not,Recruiting,Phase,3,Interventional,China,Efficacy,and,Safety,of,Hydroxychloroquine,for,Treatment,of,COVID-19,,Drug,Hydroxychloroquine,Hydroxychloroquine,30,25.02.2020,25.02.2020,https://clinicaltrials.gov/show/NCT04261517,Journal,Article,6.03.2020,https://doi.org/10.3785/j.issn.1008-9292.2020.03.03,20.04.2020,None
644,NCT04302766,ClinicalTrials.gov,2.03.2020,1.04.2020,FALSE,U.S.,Army,Medical,Research,and,Development,Command,Not,Recruiting,Phase,1,Expanded,Access,No,Country,Given,Expanded,Access,Remdesivir,(RDV,,,,,,,,,,,,,,
645,NCT04306055,ClinicalTrials.gov,8.03.2020,13.03.2020,FALSE,Guangzhou,Blood,Center,Not,Recruiting,Not,Applicable,Interventional,China,Blood,Donor,Recruitment,During,Epidemic,of,COVID-19,,Other,No,Intervention,No,Intervention,19491,13.03.2020,3.04.2020,https://clinicaltrials.gov/show/NCT04306055,No,Results,No,Results,No,Results,20.04.2020,None
647,NCT04315480,ClinicalTrials.gov,14.03.2020,12.03.2020,TRUE,Universit,Politecnica,delle,Marche,Not,Recruiting,Phase,2,Interventional,Italy,Tocilizumab,for,SARS-CoV2,(COVID-19),Severe,Pneumonitis,,Drug,Tocilizumab,Tocilizumab,38,9.04.2020,20.05.2020,https://clinicaltrials.gov/show/NCT04315480,Pre-Print,Article,11.07.2020,https://doi.org/10.1101/2020.07.11.20151365,20.04.2020,None,,,,
648,NCT04319315,ClinicalTrials.gov,16.03.2020,11.03.2020,TRUE,Assiut,University,Recruiting,Not,Applicable,Observational,Egypt,Social,Media,Effect,on,Knowledge,Dissemination,During,COVID-19,Virus,Outbreak,,Other,No,Intervention,No,Intervention,400,1.04.2020,16.04.2020,https://clinicaltrials.gov/show/NCT04319315,Pre-Print,Article,3.06.2020,https://doi.org/10.1101/2020.05.31.20118232,20.04.2020,None,
650,NCT04329546,ClinicalTrials.gov,29.03.2020,27.03.2020,TRUE,University,Hospital,,Geneva,Recruiting,Not,Applicable,Observational,Switzerland,Understanding,COVID-19,,Clinical,Presentation,No,Intervention,No,Intervention,250,31.01.2022,31.03.2022,https://clinicaltrials.gov/show/NCT04329546,No,Results,No,Results,No,Results,20.04.2020,None,,,,
653,NCT04331509,ClinicalTrials.gov,31.03.2020,23.03.2020,TRUE,King's,College,London,Recruiting,Not,Applicable,Observational,United,States,,United,Kingdom,COVID-19,Symptom,Tracker,,Clinical,Presentation,No,Intervention,No,Intervention,10000000,23.03.2022,23.03.2022,https://clinicaltrials.gov/show/NCT04331509,Pre-Print,Article,12.05.2020,https://doi.org/10.1101/2020.04.29.20084111,20.04.2020,None,,
658,NCT04333953,ClinicalTrials.gov,31.03.2020,1.04.2020,FALSE,University,of,Missouri-Columbia,Recruiting,Not,Applicable,Observational,United,States,COVID-19,in,Patients,With,HIV,,Clinical,Presentation,No,Intervention,No,Intervention,500,1.10.2020,1.10.2020,https://clinicaltrials.gov/show/NCT04333953,No,Results,No,Results,No,Results,20.04.2020,None,
661,NCT04335188,ClinicalTrials.gov,31.03.2020,6.04.2020,FALSE,IHF,GmbH,-,Institut,for,Herzinfarktforschung,Recruiting,Not,Applicable,Observational,Germany,COVID-19,Registry,Rhineland-Palatinate,(Germany),,Clinical,Presentation,No,Intervention,No,Intervention,4000,31.07.2021,30.09.2021,https://clinicaltrials.gov/show/NCT04335188,No,Results,No,Results,No,Results,20.04.2020,None
662,NCT04335630,ClinicalTrials.gov,2.04.2020,30.03.2020,TRUE,Memorial,Hermann,Health,System,Recruiting,Not,Applicable,Observational,United,States,Cardiovascular,Manifestations,of,COVID-19,,Clinical,Presentation,No,Intervention,No,Intervention,500,21.03.2020,22.03.2020,https://clinicaltrials.gov/show/NCT04335630,No,Results,No,Results,No,Results,20.04.2020,None,
671,NCT04337502,ClinicalTrials.gov,6.04.2020,23.12.2019,TRUE,Maastricht,University,Not,Recruiting,Not,Applicable,Observational,China,Clinical,and,Radiomic,Model,of,COVID-19,,Other,(software),Other,Other,300,20.01.2020,3.03.2020,https://clinicaltrials.gov/show/NCT04337502,No,Results,No,Results,No,Results,20.04.2020,None,,,
672,NCT04337762,ClinicalTrials.gov,6.04.2020,6.04.2020,FALSE,Beat,COVID,LLC,Recruiting,Not,Applicable,Observational,United,States,Beat,COVID-19,-,Observational,Trial,JUPITER,Clinical,Presentation,No,Intervention,No,Intervention,100000,20.12.2020,21.07.2020,https://clinicaltrials.gov/show/NCT04337762,No,Results,No,Results,No,Results,20.04.2020,None,
677,NCT04339387,ClinicalTrials.gov,6.04.2020,1.03.2020,TRUE,Brigham,and,Women's,Hospital,Recruiting,Not,Applicable,Observational,United,States,COVID-19,Risk,Stratification,,Prognosis,No,Intervention,No,Intervention,1500,15.04.2020,15.04.2020,https://clinicaltrials.gov/show/NCT04339387,No,Results,No,Results,No,Results,20.04.2020,None,,,
678,NCT04339608,ClinicalTrials.gov,7.04.2020,2.04.2020,TRUE,Max,Healthcare,Insititute,Limited,Recruiting,Not,Applicable,Observational,India,Max,COVID19-,Study,,Clinical,Presentation,No,Intervention,No,Intervention,10000,30.05.2020,30.06.2020,https://clinicaltrials.gov/show/NCT04339608,No,Results,No,Results,No,Results,20.04.2020,None,,,
707,ChiCTR2000029434,ChiCTR,1.02.2020,1.02.2020,FALSE,Hebei,Yiling,Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,ChiCTR2000029433,ChiCTR,1.02.2020,1.02.2020,FALSE,Hebei,Yiling,Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,EUCTR2020-001160-28-ES,EU,Clinical,Trials,Register,13.04.2020,9.04.2020,TRUE,Medica,Scientia,Innovation,Research,S.L.,(MEDSIR),Authorised,Phase,2,Interventional,Spain,Tocilizumab,plus,Pembrolizumab,in,COVID-19,,Drug,Tocilizumab,+,Pembrolizumab,Tocilizumab,,,,,,,,,
746,IRCT20200325046860N1,IRCT,30.03.2020,15.03.2020,TRUE,Darmanara,Co.,Recruiting,Not,Applicable,Interventional,Iran,Convalescent,Plasma,therapy,for,COVID-19,Patients,,ATMP,Plasma,Plasma,200,Not,Available,Not,Available,http://en.irct.ir/trial/46759,No,Results,No,Results,No,Results,21.04.2020,None,,,
760,NCT04257656,ClinicalTrials.gov,31.01.2020,6.02.2020,FALSE,Capital,Medical,University,Not,Recruiting,Phase,3,Interventional,China,A,Trial,of,Remdesivir,in,Adults,With,Severe,COVID-19,,Drug,Remdesivir,Remdesivir,237,30.03.2020,10.04.2020,https://clinicaltrials.gov/show/NCT04257656,Journal,Article,29.04.2020,https://doi.org/10.1016/S0140-6736(20)31022-9,27.04.2020,None,,
763,NCT04280224,ClinicalTrials.gov,13.02.2020,15.02.2020,FALSE,Xinxiang,Medical,University,Recruiting,Phase,1,Interventional,China,NK,Cells,Treatment,for,COVID-19,,ATMP,Cells,(NK),Cells,(NK),30,30.09.2020,30.12.2020,https://clinicaltrials.gov/show/NCT04280224,No,Results,No,Results,No,Results,27.04.2020,None,,,
768,NCT04320953,ClinicalTrials.gov,21.03.2020,16.03.2020,TRUE,Changhai,Hospital,Not,Recruiting,Not,Applicable,Interventional,China,Non-contact,Endoscopy,at,Covid-19,Outbreak,,Other,(device),Non-contact,Endoscopy,Non-contact,Endoscopy,5,26.03.2020,9.04.2020,https://clinicaltrials.gov/show/NCT04320953,No,Results,No,Results,No,Results,27.04.2020,None,,
769,NCT04321174,ClinicalTrials.gov,18.03.2020,17.04.2020,FALSE,Darrell,Tan,Recruiting,Phase,3,Interventional,Canada,COVID-19,Ring-based,Prevention,Trial,With,Lopinavir/Ritonavir,CORIPREV-LR,Drug,Lopinavir/ritonavir,Lopinavir/ritonavir,1220,31.03.2021,31.03.2022,https://clinicaltrials.gov/show/NCT04321174,No,Results,No,Results,No,Results,27.04.2020,None,,,,,
773,NCT04324190,ClinicalTrials.gov,26.03.2020,8.04.2020,FALSE,Gunther,Meinlschmidt,Recruiting,Not,Applicable,Interventional,Germany,DIgital,Online,SuPport,for,COVID-19,StrEss,DISPOSE,Other,(psych),Psychological,Psychological,600,20.06.2020,21.12.2020,https://clinicaltrials.gov/show/NCT04324190,No,Results,No,Results,No,Results,27.04.2020,None,,,,
779,NCT04334044,ClinicalTrials.gov,1.04.2020,15.04.2020,FALSE,Grupo,Cooperativo,Hemopatías,Malignas,Recruiting,Phase,1/Phase,2,Interventional,Mexico,Treatment,of,SARS,Caused,by,COVID-19,With,Ruxolitinib,,Drug,Ruxolitinib,Ruxolitinib,20,1.06.2020,1.06.2020,https://clinicaltrials.gov/show/NCT04334044,No,Results,No,Results,No,Results,27.04.2020,None
781,NCT04336215,ClinicalTrials.gov,2.04.2020,7.04.2020,FALSE,Rutgers,University,Recruiting,Not,Applicable,Observational,United,States,Rutgers,COVID-19,Cohort,Study,,Clinical,Presentation,No,Intervention,No,Intervention,750,1.09.2020,21.10.2021,https://clinicaltrials.gov/show/NCT04336215,Pre-Print,Article,24.04.2020,https://doi.org/10.1101/2020.04.20.20072470,27.04.2020,None,,,,,
791,NCT04344106,ClinicalTrials.gov,8.04.2020,1.04.2020,TRUE,ELHARRAR,Xavier,Recruiting,Not,Applicable,Interventional,France,Prone,Positioning,in,Spontaneously,Breathing,Nonintubated,Covid-19,Patient:,a,Pilot,Study,ProCov,Procedure,Positioning,Positioning,25,15.04.2020,1.05.2020,https://clinicaltrials.gov/show/NCT04344106,No,Results,No,Results,No,Results,27.04.2020,None
792,NCT04344171,ClinicalTrials.gov,10.04.2020,30.03.2020,TRUE,ClarData,Recruiting,Not,Applicable,Observational,Germany,,Romania,CovidDB:,The,Covid-19,Inpatient,Database,,Clinical,Presentation,No,Intervention,No,Intervention,5000,31.12.2022,30.06.2023,https://clinicaltrials.gov/show/NCT04344171,No,Results,No,Results,No,Results,27.04.2020,None,,
794,NCT04344535,ClinicalTrials.gov,10.04.2020,8.04.2020,TRUE,Stony,Brook,University,Recruiting,Phase,1/Phase,2,Interventional,United,States,Convalescent,Plasma,vs.,Standard,Plasma,for,COVID-19,,ATMP,Plasma,Plasma,500,30.04.2021,31.08.2021,https://clinicaltrials.gov/show/NCT04344535,No,Results,No,Results,No,Results,27.04.2020,None,
805,NCT04345523,ClinicalTrials.gov,2.04.2020,3.04.2020,FALSE,Cristina,Avendaño-Solá,Recruiting,Phase,2,Interventional,Spain,Convalescent,Plasma,Therapy,vs.,SOC,for,the,Treatment,of,COVID19,in,Hospitalized,Patients,ConPlas-19,ATMP,Plasma,Plasma,278,20.07.2020,20.07.2020,https://clinicaltrials.gov/show/NCT04345523,Pre-Print,Article,1.09.2020,https://doi.org/10.1101/2020.08.26.20182444,27.04.2020,None
808,NCT04345887,ClinicalTrials.gov,10.04.2020,21.04.2020,FALSE,Istanbul,University-Cerrahpasa,Not,Recruiting,Phase,4,Interventional,Turkey,Spironolactone,in,Covid-19,Induced,ARDS,,Drug,Spironolactone,Spironolactone,60,21.07.2020,21.10.2020,https://clinicaltrials.gov/show/NCT04345887,No,Results,No,Results,No,Results,27.04.2020,None,,,,,
825,NCT04348877,ClinicalTrials.gov,13.04.2020,20.04.2020,FALSE,Ain,Shams,University,Not,Recruiting,Not,Applicable,Interventional,Egypt,Plasma,Rich,Antibodies,From,Recovered,Patients,From,COVID19,PRA-001,ATMP,Plasma,Plasma,20,20.10.2020,20.12.2020,https://clinicaltrials.gov/show/NCT04348877,No,Results,No,Results,No,Results,27.04.2020,None,
826,NCT04349371,ClinicalTrials.gov,12.04.2020,1.04.2020,TRUE,Columbia,University,Recruiting,Phase,2,Interventional,United,States,Saved,From,COVID-19,,Drug,(Chemoprophylaxis),Chloroquine,Chloroquine,350,21.04.2020,21.04.2020,https://clinicaltrials.gov/show/NCT04349371,No,Results,No,Results,No,Results,27.04.2020,None,,,,,,
834,NCT04351529,ClinicalTrials.gov,16.04.2020,1.04.2020,TRUE,Arbeitsgemeinschaft,medikamentoese,Tumortherapie,(AGMT),Recruiting,Not,Applicable,Observational,Austria,Austrian,COVID-19,Registry,,Clinical,Presentation,No,Intervention,No,Intervention,1000,21.12.2020,21.12.2020,https://clinicaltrials.gov/show/NCT04351529,No,Results,No,Results,No,Results,27.04.2020,None,,,
838,NCT04351763,ClinicalTrials.gov,14.04.2020,27.04.2020,FALSE,Nicolaus,Copernicus,University,Recruiting,Phase,2/Phase,3,Interventional,Poland,Amiodarone,or,Verapamil,in,COVID-19,Hospitalized,Patients,With,Symptoms,ReCOVery-SIRIO,Drug,Amiodarone,or,Verapamil,Amiodarone,,,,,,,,,,
842,NCT04352582,ClinicalTrials.gov,13.04.2020,14.04.2020,FALSE,University,Hospital,,Geneva,Recruiting,Not,Applicable,Observational,United,Kingdom,COVID-19,and,Vaccination,Attitudes,VACAT,Other,No,Intervention,No,Intervention,1000,30.04.2020,30.04.2020,https://clinicaltrials.gov/show/NCT04352582,No,Results,No,Results,No,Results,27.04.2020,None,,
851,NCT04355247,ClinicalTrials.gov,17.04.2020,14.04.2020,TRUE,Auxilio,Mutuo,Cancer,Center,Recruiting,Phase,2,Interventional,Puerto,Rico,Prophylactic,Corticosteroid,to,Prevent,COVID-19,Cytokine,Storm,,Drug,(Chemoprophylaxis),Corticosteroids,Methylprednisolone,20,31.07.2020,30.04.2021,https://clinicaltrials.gov/show/NCT04355247,No,Results,No,Results,No,Results,27.04.2020,None
885,EUCTR2020-001527-14-NL,EU,Clinical,Trials,Register,6.04.2020,21.04.2020,FALSE,Erasmus,MC,Authorised,Phase,4,Interventional,Netherlands,COVID-19:,addition,of,azithromycin,to,chloroquine,treatment,,Drug,Chloroquine,+,Azithromycin,Chloroquine,,,,,,,,,,,
892,NCT04318444,ClinicalTrials.gov,20.03.2020,29.03.2020,FALSE,Columbia,University,Recruiting,Phase,2/Phase,3,Interventional,United,States,Hydroxychloroquine,Post,Exposure,Prophylaxis,for,Coronavirus,Disease,(COVID-19),,Drug,(Chemoprophylaxis),Hydroxychloroquine,Hydroxychloroquine,1600,21.03.2020,22.03.2020,https://clinicaltrials.gov/show/NCT04318444,No,Results,No,Results,No,Results,4.05.2020,None
894,NCT04319445,ClinicalTrials.gov,20.03.2020,22.03.2020,FALSE,Wake,Forest,University,Recruiting,Not,Applicable,Interventional,United,States,Mindfulness,During,COVID-19,,Other,(psych),Psychological,Psychological,200,20.12.2020,20.12.2020,https://clinicaltrials.gov/show/NCT04319445,No,Results,No,Results,No,Results,4.05.2020,None,,,,,
897,NCT04320862,ClinicalTrials.gov,23.03.2020,3.04.2020,FALSE,Duke,University,Recruiting,Not,Applicable,Observational,United,States,COVID-19,Pandemic,Response,Network,,Clinical,Presentation,(Epidemiology),No,Intervention,No,Intervention,200000,31.12.2021,31.12.2021,https://clinicaltrials.gov/show/NCT04320862,No,Results,No,Results,No,Results,4.05.2020,None,,
901,NCT04331808,ClinicalTrials.gov,31.03.2020,30.03.2020,TRUE,Assistance,Publique,–,Hôpitaux,de,Paris,Not,Recruiting,Phase,2,Interventional,France,CORIMUNO-19,-,Tocilizumab,Trial,-,TOCI,(CORIMUNO-TOCI),CORIMUNO-TOC,Drug,Tocilizumab,Tocilizumab,228,31.03.2021,31.12.2021,https://clinicaltrials.gov/show/NCT04331808,Journal,Article,20.10.2020,https://doi.org/10.1001/jamainternmed.2020.6820,4.05.2020,None,
908,NCT04341493,ClinicalTrials.gov,7.04.2020,6.04.2020,TRUE,Hugo,Mendieta,Zeron,Recruiting,Phase,4,Interventional,Mexico,Hydroxychloroquine,vs,Nitazoxanide,in,Patients,With,COVID-19,,Drug,Hydroxychloroquine,vs.,Nitazoxanide,Hydroxychloroquine,,,,,,,,,,,,,
911,NCT04345679,ClinicalTrials.gov,11.04.2020,14.04.2020,FALSE,Orthosera,Kft.,Not,Recruiting,Phase,1,Interventional,No,Country,Given,Anti,COVID-19,Convalescent,Plasma,Therapy,,ATMP,Plasma,Plasma,20,1.06.2020,1.04.2021,https://clinicaltrials.gov/show/NCT04345679,No,Results,No,Results,No,Results,4.05.2020,None,,,
934,NCT04357496,ClinicalTrials.gov,20.04.2020,20.04.2020,FALSE,Centogene,Not,Recruiting,Not,Applicable,Observational,No,Country,Given,COVID-19,Epidemic,Response,Study,COVeR,Clinical,Presentation,No,Intervention,No,Intervention,400,30.10.2020,30.10.2020,https://clinicaltrials.gov/show/NCT04357496,No,Results,No,Results,No,Results,4.05.2020,None,,
939,NCT04358510,ClinicalTrials.gov,20.04.2020,1.04.2020,TRUE,Dascena,Not,Recruiting,Not,Applicable,Observational,United,States,COVID-19,Mortality,Prediction,Model,,Prognosis,No,Intervention,No,Intervention,114,17.04.2020,17.04.2020,https://clinicaltrials.gov/show/NCT04358510,No,Results,No,Results,No,Results,4.05.2020,None,,,,
